num_rows,day_of_week,week_of_month,holiday,temperature_2m,precipitation,a_1,a_2,a_3,a_4,a_5,f_2,f_3,f_4,f_5,STL_trend_daily,STL_seasonal_daily,STL_residual_daily,STL_trend_semi_daily,STL_seasonal_semi_daily,STL_residual_semi_daily,STL_trend_semi_weekly,STL_seasonal_semi_weekly,STL_residual_semi_weekly,hw_168,hw_24,lagged_demand_1,lagged_demand_2,lagged_demand_3,lagged_demand_4,lagged_demand_5,lagged_sum_passenger_count_1,lagged_sum_passenger_count_2,lagged_sum_passenger_count_3,lagged_sum_passenger_count_4,lagged_sum_passenger_count_5,lagged_sum_trip_durations_1,lagged_sum_trip_durations_2,lagged_sum_trip_durations_3,lagged_sum_trip_durations_4,lagged_sum_trip_durations_5,lagged_Bronx_1,lagged_Bronx_2,lagged_Bronx_3,lagged_Bronx_4,lagged_Bronx_5,lagged_Manhattan_1,lagged_Manhattan_2,lagged_Manhattan_3,lagged_Manhattan_4,lagged_Manhattan_5
4.0,7,1,1,10.8435,1.1,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.2703987829897745,4.388580102384629,-4.658978885374403,6.4431737681328904,-2.126035060978582,-0.31713870715430836,6.47909388880591,-3.410143583729744,0.9310496949238329,4.178383396387543,7.759505975548765,8.0,7.0,6.0,4.0,7.0,8.0,8.0,6.0,7.0,7.0,194.0,127.0,62.0,40.0,149.0,6.0,5.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,3.0
2.0,7,1,1,10.4935,0.2,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.333201141844119,4.49914487168889,-6.83234601353301,6.528650695372745,-1.9106856640999563,-2.6179650312727887,6.473148827137868,-1.8036236799936964,-2.669525147144171,4.598851237848706,10.317614981843484,4.0,8.0,7.0,6.0,4.0,5.0,8.0,8.0,6.0,7.0,42.0,194.0,127.0,62.0,40.0,4.0,6.0,5.0,1.0,3.0,0.0,0.0,2.0,4.0,1.0
5.0,7,1,1,10.5435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.385643959079443,4.439676051756634,-3.8253200108360774,6.601267622664135,1.1496649500135008,-2.750932572677636,6.467214939707922,0.6031712916843521,-2.0703862313922743,7.322309423810906,10.332634373587734,2.0,4.0,8.0,7.0,6.0,2.0,5.0,8.0,8.0,6.0,27.0,42.0,194.0,127.0,62.0,2.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0
8.0,7,1,1,9.893499,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.427514707590285,7.077487976385933,-3.505002683976218,6.661049170646437,-0.6240684836163853,1.9630193129699487,6.461291859826731,2.009829829302428,-0.4711216891291583,9.005070491810573,11.745829145425342,5.0,2.0,4.0,8.0,7.0,5.0,2.0,5.0,8.0,8.0,111.0,27.0,42.0,194.0,127.0,2.0,2.0,4.0,6.0,5.0,2.0,0.0,0.0,0.0,2.0
9.0,7,1,1,9.2935,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.458996223189474,5.538058528175469,-0.997054751364943,6.712195210250498,0.6550674654638006,1.632737324285702,6.455379304382521,1.416808649698781,1.1278120459186978,9.336427825015242,11.47555750393629,8.0,5.0,2.0,4.0,8.0,8.0,5.0,2.0,5.0,8.0,178.0,111.0,27.0,42.0,194.0,3.0,2.0,2.0,4.0,6.0,5.0,2.0,0.0,0.0,0.0
10.0,7,1,1,8.8435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.480681378846001,3.2644369321067126,2.254881689047286,6.762721075838452,2.214716608179176,1.0225623159823725,6.449477008380762,1.0237275449738976,2.52679544664534,9.533849249213397,10.71521312921246,9.0,8.0,5.0,2.0,4.0,9.0,8.0,5.0,2.0,5.0,284.0,178.0,111.0,27.0,42.0,4.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,0.0,0.0
10.0,7,1,1,8.3435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.493539788064254,3.7379056135545405,1.7685545983812059,6.807458226120467,-0.2972486213321974,3.489790395211731,6.44358465377609,0.03068019662554987,3.5257351495983604,7.657215679525243,10.642945199863027,10.0,9.0,8.0,5.0,2.0,10.0,9.0,8.0,5.0,2.0,174.0,284.0,178.0,111.0,27.0,8.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0
7.0,7,1,1,8.0435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.4988737671956605,1.2910958825510672,1.2100303502532723,6.638169967124139,-0.3510425434553804,0.7128725763312413,6.437701807727833,-0.36262272038243826,0.9249209126546054,6.831929720267063,8.435980105955398,10.0,10.0,9.0,8.0,5.0,13.0,10.0,9.0,8.0,5.0,231.0,174.0,284.0,178.0,111.0,5.0,8.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0
4.0,7,1,1,8.3435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.498436861673844,-0.25758577178011133,-0.2408510898937326,6.404849971574673,-0.8015269894486204,-1.603322982126052,6.431827901303707,-2.755643767506193,0.3238158662024855,6.650083828962799,5.643959778987041,7.0,10.0,10.0,9.0,8.0,7.0,13.0,10.0,9.0,8.0,201.0,231.0,174.0,284.0,178.0,5.0,5.0,8.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0
13.0,7,1,1,9.7435,0.0,3911.0,1530.0294425749116,1530.0294425749116,371.3199442423318,371.3199442423318,-0.04166666666666667,0.04166666666666667,0.036290322580645164,-0.036290322580645164,4.494677541777432,-0.8209449929464504,9.32626745116902,6.110608799600961,1.4239806651360096,5.465410535263029,6.425962303404252,3.051391875530229,3.5226458210655194,8.833767842345488,6.094848407072169,4.0,7.0,10.0,10.0,9.0,4.0,7.0,13.0,10.0,9.0,83.0,201.0,231.0,174.0,284.0,3.0,5.0,5.0,8.0,4.0,1.0,2.0,2.0,1.0,2.0
